,PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE
154,155,"Mujahid, Aminah",SO-2,Aurora,7:59.3,29:47.2,
155,156,"Tello, Leslie",SO-2,Benedictine (Ill.),8:00.3,29:51.0,
156,157,"Nelson, Erin",JR-3,Illinois Tech,8:00.6,29:52.1,90
157,158,"Coss, Ari",SO-2,Aurora,8:00.9,29:53.1,
158,159,"Lemke, Macy",JR-3,Olivet Nazarene,8:02.9,30:00.7,
159,160,"Marquez, Yahana",FR-1,Morton College,8:03.9,30:04.4,91
160,161,"Zarinana, Dulce",JR-3,Carthage,8:04.4,30:06.2,
161,162,"Thurow, Jane",SO-2,Carthage,8:06.0,30:12.0,
162,163,"Olivier, Monica",FR-1,Morton College,8:07.3,30:17.0,92
163,164,"Leon, Nancy",JR-3,MSOE,8:07.8,30:18.8,93
164,165,"Garcia, Jocelyn",FR-1,Morton College,8:10.5,30:29.0,94
165,166,"Delgado, Liz",JR-3,Elmhurst,8:11.1,30:31.1,
166,167,"Meraz, Alondra",JR-3,Aurora,8:13.1,30:38.6,
167,168,"De Leon, Maria",SO-2,Morton College,8:15.8,30:48.6,95
168,169,"McLaughlin, Jenna",JR-3,North Central (Ill.),8:16.3,30:50.6,96
169,170,"Jenson, Nicole",FR-1,Benedictine (Ill.),8:18.0,30:57.0,
170,171,"Roys, Michaela",SO-2,Olivet Nazarene,8:18.8,30:59.8,
171,172,"Jackson , Jasmine",SO-2,Judson,8:19.3,31:01.7,
172,173,"Seybold, Emma",FR-1,DuPage,8:22.1,31:12.3,
173,174,"Sanchez, Janeth",SR-4,Aurora,8:25.3,31:24.3,
174,175,"Padilla, Dani",FR-1,Waubonsee CC,8:30.4,31:43.0,
175,176,"Krevitz, Zoey",SO-2,Illinois Tech,8:33.8,31:55.7,97
176,177,"Perrino, Bonnie",JR-3,Carthage,8:34.6,31:58.6,
177,178,"Nunez, Marylou",SO-2,Kishwaukee College,8:35.6,32:02.4,
178,179,"Plunkett, Lucy",FR-1,North Park,8:37.3,32:08.8,
179,180,"Lisenby , Elizabeth",FR-1,Rockford,8:38.6,32:13.7,
180,181,"Blackmon, Emma",FR-1,Aurora,8:39.5,32:16.9,
181,182,"Engle, Andrea",FR-1,Carthage,8:43.2,32:30.8,
182,183,"Geoghegan, Riley",JR-3,Carthage,8:44.8,32:36.9,
183,184,"Gonzalez, Yazmin",FR-1,Morton College,8:51.2,33:00.7,98
184,185,"Rhea, Tatyana",FR-1,Morton College,8:54.9,33:14.6,99
185,186,"Espinosa, Leslie",SO-2,Concordia Univ. Chicago,9:07.0,33:59.7,100
186,187,"Sotelo, Noemy",SO-2,Concordia Univ. Chicago,9:08.4,34:04.8,101
187,188,"Baste, Jasmine",SO-2,Illinois Tech,9:10.8,34:13.8,102
188,189,"Herb, Rachel",FR-1,MSOE,9:11.0,34:14.4,103
189,190,"Kline, Megan",FR-1,Bethel (Ind.),9:11.1,34:14.8,
190,191,"Ayele, Wdasie",SO-2,Concordia Univ. Chicago,9:20.2,34:49.0,104
191,192,"Vieyra, Karrisa",FR-1,Kishwaukee College,9:22.0,34:55.4,
192,193,"Urig, Madalyn",FR-1,Illinois Tech,9:22.8,34:58.6,105
193,194,"Zamudio, Alejandra",JR-3,Olivet Nazarene,9:27.0,35:14.1,
194,195,"Hernandez, Angela",FR-1,Morton College,9:30.0,35:25.6,
195,196,"Johnson, Rosemary",FR-1,Illinois Tech,10:58.6,40:55.7,106
196,197,"Darling, Maria",,UNA,13:44.5,51:14.3,
197,198,"Null, Erin",FR-1,Rockford,13:44.5,51:14.5,
